PetID,rank,Type_str,age_group,Age,n_words_original,n_words_rewritten,description_original,description_rewritten,error
e9eeadf82,1,Dog,young_adult,24,26,56,Met with an accident and fractured 1 leg. She has healed completely long time ago but this limb is dysfunctional. Looking for a forever loving home.,"Flash is a medium-sized, 24-month-old female mixed-breed dog with short brown fur. She sustained an injury resulting in a fractured one leg, which has healed completely. Despite this, the limb remains dysfunctional. Flash is looking for a forever loving home where she can thrive and receive the care she needs. She is fully vaccinated and sterilized.",
de1f49c9d,2,Dog,puppy_kitten,6,27,37,Sally is very friendly and quite playful. She has a nice coat and good character as well. She feels very happy when she play and run around.,"Sally is a six-month-old female mixed-breed dog with a short, yellow coat and a medium size. She is friendly and playful, enjoying playtime and running. Sally is fully vaccinated and sterilized and is currently in good health.",
745fd19b8,3,Dog,young_adult,24,148,88,"Pooja was founded in a horrible state. She was a friendly dog and used to hang around a taman but, one day she was discovered with a broken hind leg. Someone has lured her with some food and beat her up, broke her leg. She was brought to a vet by my husband to get treatment. Pooja is now a disabled dog. She is in a temporary foster home. Pooja is looking for a forever home. She seeks a person who is good with understanding dogs. Because of her disabled condition she currently does not get along quite well with the foster home dogs (maybe they are too active for her). Pooja will do well with a house that has a compound, just for her to have space to walk around. She also comes with a blue cage which she feels safe inside. Please contact Ms. Visha at","Pooja is a 24-month-old female, medium-sized, black, short-haired mixed-breed dog. She has a minor injury and walks with one leg. Pooja was discovered after sustaining a broken hind leg, an injury that has left her disabled. She is currently in a temporary foster home and seeking a forever home with a person who understands dogs. Pooja would thrive in a home with a secure compound, providing her with space to move around comfortably. She also has a blue cage that she finds reassuring. Pooja is vaccinated and sterilized.",
7b6629627,4,Dog,young_adult,12,37,55,The following group of dog was forced to be relocate or chase out of their current shelter due to false complaint made by one of the employee in the working area of a lady I know .,"This 12-month-old medium-sized, black dog is looking for a loving home. He is a mixed breed with medium-length fur and is currently healthy. His history includes a recent relocation due to an internal shelter matter. Sterilization status is unknown. He would thrive in a patient and understanding household where he can feel safe and secure.",
77014fe37,5,Dog,young_adult,12,27,53,"Rescue from BDKL. Carmen is tame & well-behaved. She'll be very friendly if she likes you. She looks more mature compare to previously. More details, pls contact","Carmen is a 12-month-old female, medium-sized, brown, short-haired mixed-breed dog. She was rescued from BDKL and is currently a tame and well-behaved companion. Carmen is friendly and will likely warm up to you as she appears more mature than she initially seems. She is fully vaccinated and sterilized and currently in good health.",
9981290b2,6,Dog,young_adult,24,80,73,Skippy is a friendly dog who loves other dogs and is great with kids. She is very affectionate but can't walk too far because of a damaged hip. She was found by a friend of ours after being involved in an accident. She is now a healthy female who is fully house trained has been spade and fully vaccinated. We are leaving Malaysia and need to find her a permanent loving home for her. She makes a great family pet.,"Skippy is a friendly, 24-month-old female mixed-breed dog with short golden fur. She is medium in size and fully vaccinated and sterilized. Skippy enjoys the company of other dogs and is good with children. Due to a damaged hip, she has limited mobility and cannot walk long distances. She was found after being involved in an accident and is currently a healthy companion. Skippy is house-trained and would thrive in a loving home.",
2105b697d,7,Dog,young_adult,24,105,66,"She has a lovely tiger marking and nature. Do come to see her :) ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. ""","K-22 Little Tigress is a 24-month-old female, medium-sized, black mixed-breed dog. She has a distinctive tiger marking and medium-length fur. K-22 was rescued from the Klang Pound and is currently healthy and sterilized. She is a sociable and loving dog who is seeking a permanent, loving home. Due to her rescue history, she urgently needs a family who can provide the care and attention she deserves.",
afab70239,8,Dog,young_adult,9,48,47,"Paul was rescue from BDKL, he's such a lovely dog. When i take picture of him, he would stay still and let me take whatever ankle i want :) He follows me every where in the house, he's a good companion and a good guard dog as well.","Paul is a healthy, nine-month-old male mixed-breed dog with short black fur and a medium size. Rescued from BDKL, Paul enjoys following his people around the house and often stays still for photos. He’s a good companion and demonstrates protective instincts. Paul is fully vaccinated and sterilized.",
0acd95320,9,Dog,adult_senior,39,48,64,"A strong will dog, rescued by the road side as Wonder was being knocked & rolled over by a vehicle, hospitalized for a week plus. Speedy recovery but 1 hind leg just slightly crippled. Able to roam around freely. Her eyes always tells a story, good dog anyway.","Wonder is a resilient 39-month-old female mixed-breed dog with short brown fur and a medium size. She was rescued after being involved in a traffic accident, resulting in a slightly crippled hind leg. Following a week-long hospital stay, Wonder is now healthy and able to move around freely. Her expressive eyes hold a quiet strength, and she’s a deserving companion seeking a loving home.",
d7dd71467,10,Dog,young_adult,24,18,48,"Hazel's size is medium to large, very good-looking and has a shiny coat. She's also a good guardog.","Hazel is a beautiful, medium to large-sized female dog with a shiny, short black coat. At 24 months, she’s a healthy and well-vaccinated companion. Hazel is a good guard dog and enjoys spending time with her people. She is sterilized and ready to find a loving forever home.",
